Week, Mon, Tue, Wed, Thu, Fri, Sat, Sun
1,	Rest,	3 mi run,	5 mi run,	3 mi run,	Rest,	5 mi pace,	10 mi run
2,	Rest,	3 mi run,	5 mi run,	3 mi run,	Rest,	5 mi run,	1.5 hr run
3,	Rest,	3 mi run,	6 mi run,	3 mi run,	Rest,	6 mi pace,	8 mi run
4,	Rest,	3 mi run,	6 mi run,	3 mi run,	Rest,	6 mi pace,	13 mi run
5,	Rest,	3 mi run,	7 mi run,	3 mi run,	Rest,	7 mi run,	2 hr run
6,	Rest,	3 mi run,	7 mi run,	3 mi run,	Rest,	7 mi pace,	10 mi run
7,	Rest,	4 mi run,	8 mi run,	4 mi run,	Rest,	5 mi pace,	16 mi run
8,	Rest,	4 mi run,	8 mi run,	4 mi run,	Rest,	8 mi run,	2.5 hr run
9,	Rest,	4 mi run,	9 mi run,	4 mi run,	Rest,	Rest,	13.1 mi
10,	Rest,	4 mi run,	9 mi run,	4 mi run,	Rest,	9 mi pace,	3 hr run
11,	Rest,	5 mi run,	10 mi run,	5 mi run,	Rest,	10 mi run,	20 mi run
12,	Rest,	5 mi run,	6 mi run,	5 mi run,	Rest,	6 mi pace,	2 hr run
13,	Rest,	5 mi run,	10 mi run,	5 mi run,	Rest,	10 mi pace,	20 mi run
14,	Rest,	5 mi run,	6 mi run,	5 mi run,	Rest,	6 mi run,	2.5 hr run
15,	Rest,	5 mi run,	10 mi run,	5 mi run,	Rest,	10 mi pace,	20 mi run
16,	Rest,	5 mi run,	8 mi run,	5 mi run,	Rest,	10 mi pace,	3 hr run
17,	Rest,	4 mi run,	6 mi run,	4 mi run,	Rest,	4 mi pace,	8 mi run
18,	Rest,	3 mi run,	4 mi run,	Rest,	Rest,	2 mi run,	26.2 mi
19,	Rest,	Rest,	Rest,	3 mi run,	Rest,	1.0 hr run	1.0 hr run
20,	Rest,	3 mi run,	10 mi run,	3 mi run,	Rest,	1.0 hr pace,	3.0 hr run
21,	Rest,	3 mi run,	6 mi run,	3 mi run,	Rest,	1.5 hr run	2.0 hr run
22,	Rest,	3 mi run,	10 mi run,	3 mi run,	Rest,	1.5 hr pace,	4.0 hr run
23,	Rest,	4 mi run,	7 mi run,	4 mi run,	Rest,	2.0 hr run	3.0 hr run
24,	Rest,	4 mi run,	10 mi run,	4 mi run,	Rest,	2.0 hr pace,	5.0 hr run
25,	Rest,	4 mi run,	8 mi run,	4 mi run,	Rest,	1.0 hr run	1.0 hr run
26,	Rest,	4 mi run,	4 mi run,	Rest,	Rest,	2 mi run,	31.1 mi